state,total_loans,undisbursed_loans
IL,11080,1713
GA,8865,1217
CA,8837,1200
TX,7479,1022
FL,6522,745
NY,3854,594
OH,3363,456
LA,2862,454
MI,2870,429
TN,2448,385
PA,2413,306
NV,1874,296
IN,1862,282
AL,1830,226
WI,1271,209
SC,1539,198
NC,1702,186
MO,1471,186
VA,1265,181
AZ,1395,178
MS,1644,177
AR,1076,176
MD,1327,162
NJ,1322,145
MN,771,84
MA,891,67
IA,496,56
CO,546,53
CT,585,50
KY,648,48
WA,587,46
DC,259,46
OK,580,45
DE,262,44
KS,454,33
NE,222,21
OR,326,15
UT,214,15
RI,174,15
NM,184,12
WV,145,11
PR,323,10
AK,67,7
SD,74,4
MT,65,4
WY,34,4
HI,96,3
ID,133,2
ME,123,2
NH,108,2
ND,79,2
VT,19,1
VI,7,1
MP,1,1
GU,8,NA
AS,2,NA
