state,lender,undisbursed_loans
IL,"Harvest Small Business Finance, LLC",2379
IL,"Capital Plus Financial, LLC",1938
CA,"Harvest Small Business Finance, LLC",1713
GA,"Harvest Small Business Finance, LLC",1536
IL,"BSD Capital, LLC dba Lendistry",1418
GA,Benworth Capital,1297
IL,Benworth Capital,1261
CA,"BSD Capital, LLC dba Lendistry",1162
GA,"Capital Plus Financial, LLC",1142
GA,"BSD Capital, LLC dba Lendistry",1114
CA,Benworth Capital,1046
TX,"Capital Plus Financial, LLC",1035
GA,"Prestamos CDFI, LLC",1031
CA,"Prestamos CDFI, LLC",1025
TX,"Prestamos CDFI, LLC",1011
FL,"Harvest Small Business Finance, LLC",998
IL,"Prestamos CDFI, LLC",991
CA,"Capital Plus Financial, LLC",932
GA,Fountainhead SBF LLC,906
IL,Itria Ventures LLC,880
FL,Benworth Capital,740
TX,Fountainhead SBF LLC,732
TX,"BSD Capital, LLC dba Lendistry",700
IL,Fountainhead SBF LLC,694
TX,"Harvest Small Business Finance, LLC",690
NY,"Harvest Small Business Finance, LLC",621
TX,Benworth Capital,618
MI,"Harvest Small Business Finance, LLC",577
CA,Fountainhead SBF LLC,567
FL,"BSD Capital, LLC dba Lendistry",558
OH,"Harvest Small Business Finance, LLC",548
LA,"Prestamos CDFI, LLC",544
NY,Benworth Capital,495
FL,"Capital Plus Financial, LLC",483
FL,Fountainhead SBF LLC,468
OH,Benworth Capital,452
OH,"Capital Plus Financial, LLC",450
LA,"Capital Plus Financial, LLC",440
FL,"Prestamos CDFI, LLC",437
MI,Benworth Capital,437
NV,"Harvest Small Business Finance, LLC",435
NY,"BSD Capital, LLC dba Lendistry",435
GA,Itria Ventures LLC,416
MI,"Prestamos CDFI, LLC",412
PA,"Prestamos CDFI, LLC",388
FL,"Kabbage, Inc.",382
OH,"Prestamos CDFI, LLC",369
MI,"Capital Plus Financial, LLC",361
OH,"BSD Capital, LLC dba Lendistry",353
NV,"Capital Plus Financial, LLC",349
IN,"Harvest Small Business Finance, LLC",335
LA,"Harvest Small Business Finance, LLC",331
PA,"Harvest Small Business Finance, LLC",326
LA,Benworth Capital,313
FL,Itria Ventures LLC,310
LA,"BSD Capital, LLC dba Lendistry",290
NY,"Prestamos CDFI, LLC",288
TN,Benworth Capital,285
CA,Customers Bank,280
MI,Fountainhead SBF LLC,272
NY,"Capital Plus Financial, LLC",271
TN,"Capital Plus Financial, LLC",271
IN,Benworth Capital,266
MI,"BSD Capital, LLC dba Lendistry",264
PA,"BSD Capital, LLC dba Lendistry",264
TN,"Harvest Small Business Finance, LLC",260
TN,"Prestamos CDFI, LLC",259
NV,Benworth Capital,257
IN,"Capital Plus Financial, LLC",255
TX,Itria Ventures LLC,255
MS,Benworth Capital,253
FL,"Square Capital, LLC",244
TX,"Square Capital, LLC",241
CA,"Bank of America, National Association",237
TN,"BSD Capital, LLC dba Lendistry",237
NV,"Prestamos CDFI, LLC",234
OH,Fountainhead SBF LLC,229
PR,Banco Popular de Puerto Rico,225
CA,Itria Ventures LLC,224
MO,"Harvest Small Business Finance, LLC",221
TN,Fountainhead SBF LLC,221
PA,Benworth Capital,216
IN,"Prestamos CDFI, LLC",215
IN,"BSD Capital, LLC dba Lendistry",213
AL,"Harvest Small Business Finance, LLC",212
NC,"Prestamos CDFI, LLC",210
PA,"Capital Plus Financial, LLC",210
SC,"Prestamos CDFI, LLC",206
MS,"Harvest Small Business Finance, LLC",205
FL,Customers Bank,203
AL,"Prestamos CDFI, LLC",199
AL,Benworth Capital,198
CA,"Square Capital, LLC",197
FL,Celtic Bank Corporation,196
NV,"BSD Capital, LLC dba Lendistry",194
NY,Fountainhead SBF LLC,193
AZ,"Harvest Small Business Finance, LLC",191
WI,"BSD Capital, LLC dba Lendistry",190
SC,Benworth Capital,188
AZ,"Capital Plus Financial, LLC",181
AL,"BSD Capital, LLC dba Lendistry",179
PA,Fountainhead SBF LLC,176
SC,"Harvest Small Business Finance, LLC",175
TX,Celtic Bank Corporation,175
NC,"BSD Capital, LLC dba Lendistry",173
AZ,"BSD Capital, LLC dba Lendistry",172
LA,Fountainhead SBF LLC,172
SC,"BSD Capital, LLC dba Lendistry",172
NC,Benworth Capital,171
AL,"Capital Plus Financial, LLC",167
GA,"Kabbage, Inc.",167
CA,Celtic Bank Corporation,166
NC,"Harvest Small Business Finance, LLC",163
NJ,"Harvest Small Business Finance, LLC",162
MO,"BSD Capital, LLC dba Lendistry",161
VA,Benworth Capital,161
AZ,Benworth Capital,159
MD,"BSD Capital, LLC dba Lendistry",159
MD,"Harvest Small Business Finance, LLC",159
AZ,"Prestamos CDFI, LLC",156
MD,"Prestamos CDFI, LLC",154
CA,"Wells Fargo Bank, National Association",152
GA,Customers Bank,152
WI,"Harvest Small Business Finance, LLC",152
MO,Benworth Capital,149
TX,Customers Bank,149
WI,"Capital Plus Financial, LLC",148
MD,Benworth Capital,146
MS,"BSD Capital, LLC dba Lendistry",146
MS,Fountainhead SBF LLC,143
CA,Cross River Bank,142
AL,Fountainhead SBF LLC,140
VA,"Harvest Small Business Finance, LLC",140
AR,Benworth Capital,139
AR,"BSD Capital, LLC dba Lendistry",137
IL,Customers Bank,137
NY,Customers Bank,137
IL,Cross River Bank,136
NJ,Benworth Capital,136
VA,"BSD Capital, LLC dba Lendistry",135
WI,Benworth Capital,134
MO,Fountainhead SBF LLC,133
GA,Cross River Bank,131
MS,"Capital Plus Financial, LLC",130
SC,"Capital Plus Financial, LLC",130
AZ,Fountainhead SBF LLC,129
AR,"Harvest Small Business Finance, LLC",128
MN,"Harvest Small Business Finance, LLC",128
NY,"Kabbage, Inc.",128
NJ,"BSD Capital, LLC dba Lendistry",127
FL,"Bank of America, National Association",126
WI,"Prestamos CDFI, LLC",126
IN,Fountainhead SBF LLC,121
MS,"Prestamos CDFI, LLC",120
IL,"Kabbage, Inc.",117
SC,Fountainhead SBF LLC,116
MO,"Capital Plus Financial, LLC",115
NY,"JPMorgan Chase Bank, National Association",115
NC,"Capital Plus Financial, LLC",114
AR,"Capital Plus Financial, LLC",113
NY,KeyBank National Association,111
NJ,Fountainhead SBF LLC,105
CA,"U.S. Bank, National Association",104
IL,"Amur Equipment Finance, Inc.",103
VA,"Prestamos CDFI, LLC",103
FL,Cross River Bank,98
NV,Fountainhead SBF LLC,96
MD,"Capital Plus Financial, LLC",95
NY,Itria Ventures LLC,92
WI,Fountainhead SBF LLC,91
GA,"Square Capital, LLC",90
MA,"Harvest Small Business Finance, LLC",89
NC,Customers Bank,87
NC,Fountainhead SBF LLC,86
TN,Itria Ventures LLC,86
LA,Itria Ventures LLC,84
NJ,"Capital Plus Financial, LLC",84
NJ,"Prestamos CDFI, LLC",84
AL,Itria Ventures LLC,83
TX,"Kabbage, Inc.",83
FL,"Wells Fargo Bank, National Association",81
TX,"Bank of America, National Association",80
FL,"Readycap Lending, LLC",79
GA,Celtic Bank Corporation,79
MD,Fountainhead SBF LLC,79
NY,"TD Bank, National Association",79
IL,"Readycap Lending, LLC",78
MN,"BSD Capital, LLC dba Lendistry",78
AR,People Trust,75
AR,Arvest Bank,74
FL,"Amur Equipment Finance, Inc.",74
FL,Sunshine State Economic Development Corporation,73
VA,"Capital Plus Financial, LLC",73
AR,"Prestamos CDFI, LLC",72
IL,MBE Capital Partners,72
OH,The Huntington National Bank,72
PA,"Citizens Bank, National Association",72
VA,Fountainhead SBF LLC,72
LA,Customers Bank,70
MN,"Capital Plus Financial, LLC",70
MO,"Prestamos CDFI, LLC",70
NY,Cross River Bank,70
OH,KeyBank National Association,70
MN,Benworth Capital,69
OH,Itria Ventures LLC,69
CA,"Readycap Lending, LLC",67
NJ,"TD Bank, National Association",67
NC,Itria Ventures LLC,66
NY,"Bank of America, National Association",66
TX,Cross River Bank,66
GA,"Readycap Lending, LLC",65
GA,"Amur Equipment Finance, Inc.",63
MA,Benworth Capital,63
TN,Customers Bank,62
CA,"JPMorgan Chase Bank, National Association",60
MA,"BSD Capital, LLC dba Lendistry",60
MA,Eastern Bank,58
AR,Fountainhead SBF LLC,57
FL,"Leader Bank, National Association",57
NC,"Square Capital, LLC",57
IL,The Enterprise Center Capital Corporation,56
MA,"Capital Plus Financial, LLC",56
PR,FirstBank Puerto Rico,56
TN,First Horizon Bank,56
MI,Itria Ventures LLC,55
MS,Itria Ventures LLC,55
PA,Itria Ventures LLC,55
MN,"Prestamos CDFI, LLC",53
AL,Customers Bank,52
FL,Regions Bank,52
MS,Community Bank of Mississippi,52
TX,MBE Capital Partners,51
PA,Customers Bank,50
PA,KeyBank National Association,50
DC,Benworth Capital,49
DE,"Prestamos CDFI, LLC",49
MA,"Citizens Bank, National Association",49
TN,Hope Enterprise Corporation,49
TX,"Amur Equipment Finance, Inc.",49
GA,MBE Capital Partners,48
OH,Customers Bank,48
TX,"JPMorgan Chase Bank, National Association",48
IA,Benworth Capital,47
MI,Customers Bank,47
SC,Itria Ventures LLC,47
TX,Frost Bank,47
CT,Benworth Capital,46
CT,"Webster Bank, National Association",46
NJ,Customers Bank,46
OH,"Square Capital, LLC",46
MD,"Bank of America, National Association",45
NC,Celtic Bank Corporation,45
TN,"Square Capital, LLC",45
TX,"Wells Fargo Bank, National Association",45
DC,"BSD Capital, LLC dba Lendistry",44
KY,"Harvest Small Business Finance, LLC",44
MA,Fountainhead SBF LLC,44
MD,"Square Capital, LLC",44
DC,"Prestamos CDFI, LLC",43
GA,"Bank of America, National Association",43
TX,"Readycap Lending, LLC",43
CT,"People's United Bank, National Association",42
IA,"Capital Plus Financial, LLC",42
IL,"U.S. Bank, National Association",42
MI,The Huntington National Bank,42
MS,BankPlus,42
NJ,Itria Ventures LLC,42
OK,"BSD Capital, LLC dba Lendistry",42
TX,American Lending Center,42
TX,DreamSpring,42
TX,Texas National Bank,42
CT,"Harvest Small Business Finance, LLC",41
FL,"TD Bank, National Association",41
MA,"Bank of America, National Association",41
NY,Celtic Bank Corporation,41
OK,"Harvest Small Business Finance, LLC",41
IA,"BSD Capital, LLC dba Lendistry",40
IL,Fifth Third Bank,40
IL,"Square Capital, LLC",40
IN,Itria Ventures LLC,40
KY,"Capital Plus Financial, LLC",40
MS,Customers Bank,40
NC,First Horizon Bank,40
NC,Truist Bank d/b/a Branch Banking & Trust Co,40
NV,Customers Bank,40
NV,Itria Ventures LLC,40
TX,BBVA USA,40
TX,"Leader Bank, National Association",40
WA,"Square Capital, LLC",40
MS,BancorpSouth Bank,39
OH,Economic and Community Development Institute,39
TN,Regions Bank,39
AL,Regions Bank,38
CO,Benworth Capital,38
CO,"BSD Capital, LLC dba Lendistry",38
CT,Fountainhead SBF LLC,38
LA,"Square Capital, LLC",38
MD,Celtic Bank Corporation,38
OK,Benworth Capital,38
TX,Lone Star National Bank,38
VA,Customers Bank,38
WA,Celtic Bank Corporation,38
DC,"Harvest Small Business Finance, LLC",37
GA,"Leader Bank, National Association",37
IA,"Harvest Small Business Finance, LLC",37
IL,Celtic Bank Corporation,37
MA,"Prestamos CDFI, LLC",37
MD,Customers Bank,37
OK,Arvest Bank,37
SC,"Kabbage, Inc.",37
TX,Amarillo National Bank,37
CA,"Leader Bank, National Association",36
CO,"Harvest Small Business Finance, LLC",36
MN,Fountainhead SBF LLC,36
NY,"Square Capital, LLC",36
TN,"Kabbage, Inc.",36
WA,KeyBank National Association,36
AL,"Kabbage, Inc.",35
GA,The Enterprise Center Capital Corporation,35
GA,"Wells Fargo Bank, National Association",35
NY,Manufacturers and Traders Trust Company,35
SC,Customers Bank,35
TX,Woodforest National Bank,35
WA,"BSD Capital, LLC dba Lendistry",35
WI,Itria Ventures LLC,35
AL,Cross River Bank,34
CA,American Lending Center,34
NY,"Leader Bank, National Association",34
OH,"Kabbage, Inc.",34
TX,"Zions Bank, A Division of",34
WA,"Prestamos CDFI, LLC",34
CA,WebBank,33
CT,Itria Ventures LLC,33
DE,Benworth Capital,33
FL,Fifth Third Bank,33
FL,"JPMorgan Chase Bank, National Association",33
SC,"Square Capital, LLC",33
TN,Cross River Bank,33
VA,"Wells Fargo Bank, National Association",33
CA,MBE Capital Partners,32
CT,KeyBank National Association,32
KY,Benworth Capital,32
LA,State Bank & Trust Company,32
MS,Regions Bank,32
NJ,"Bank of America, National Association",32
OH,Celtic Bank Corporation,32
OH,Fifth Third Bank,32
OR,"Square Capital, LLC",32
RI,"Citizens Bank, National Association",32
TX,The Enterprise Center Capital Corporation,32
AZ,"Square Capital, LLC",31
CT,"BSD Capital, LLC dba Lendistry",31
DE,"BSD Capital, LLC dba Lendistry",31
FL,American Lending Center,31
FL,MBE Capital Partners,31
FL,Truist Bank d/b/a Branch Banking & Trust Co,31
KY,"BSD Capital, LLC dba Lendistry",31
LA,"Kabbage, Inc.",31
NC,DreamSpring,31
NY,MBE Capital Partners,31
OK,BancFirst,31
CA,"Amur Equipment Finance, Inc.",30
FL,DreamSpring,30
GA,American Lending Center,30
GA,"Blue Ridge Bank, National Association",30
IN,Customers Bank,30
MD,Itria Ventures LLC,30
MD,"Kabbage, Inc.",30
NJ,"Kabbage, Inc.",30
OH,"Citizens Bank, National Association",30
OR,Celtic Bank Corporation,30
VA,Truist Bank d/b/a Branch Banking & Trust Co,30
WA,"Bank of America, National Association",30
CT,"Capital Plus Financial, LLC",29
FL,The Enterprise Center Capital Corporation,29
KY,"Community Trust Bank, Inc.",29
PA,"Square Capital, LLC",29
TX,"Newtek Small Business Finance, Inc.",29
UT,"Zions Bank, A Division of",29
VA,"Square Capital, LLC",29
