STATE,DATE_ENACTED,NCSL_TITLE,NCSL_TOPICS,NCSL_SUMMARY,BILL_NUMBER,NOTES,UNIQUE_ID,TRAINING,CHOKEHOLD,BODY_CAMERA,IMMUNITITY,WARRANTS,USE_OF_FORCE,TRANSPARENCY,OVERSIGHT,ACCOUNTABILITY,MENTAL_HEALTH,LEFT_RIGHT_REFORM,PARTY_SPONSOR,BILL_TEXT_LINK
Alabama,04/01/2022,Mental Health,Policing Alternatives and Collaboration,"Relates to mental health, amends Sections 15-16-41, 15-16-43, 15-16-67, 22-52-1.1, 22-52-10.2, 22-52-10.4, and 22-52-91, Code of Alabama 1975, provides definitions, provides further for the assessment of an individual's threat of harm for purposes of an involuntary commitment hearing, allows a law enforcement officer under certain conditions to deliver an individual to a designated mental health facility for evaluation.",AL HB 70,"mental health diversion, ",1,0,0,0,0,0,0,0,0,0,1,left,Republican,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2022000H70&ciq=ncsl&client_md=962c8780da43d40e0842776de6a94266&mode=current_text
Alabama,04/22/2021,Law Enforcement,"Employment and Labor, Data and Transparency","Relates to law enforcement, requires the State Peace Officers' Standards and Training Commission to create a database of certain information relating to law enforcement officers, provides that information in the database is confidential, provides for criminal penalties for unauthorized disclosure, requires former law enforcement employers to disclose information to another law enforcement agency for purposes of employment of law enforcement officers, provides immunity for certain disclosures.",AL H 411,"accountability, use of force",2,0,0,0,0,0,1,0,0,1,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H411&ciq=ncsl&client_md=45aed53cd1dd6ef34e699faba2102f4a&mode=current_text
Alabama,05/25/2021,Municipalities and Law Enforcement,Policing Alternatives and Collaboration,"Relates to municipalities, provides that a municipality may authorize a law enforcement officer to issue a summons and complaint in lieu of custodial arrest for certain criminal offenses, relates to expenditure of local funds.",AL SB 59,tactics,3,0,0,0,0,0,0,0,0,0,0,right,Republican,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S59&ciq=ncsl&client_md=3e9f24139e0598bf96bcfe1aca43c796&mode=current_text
Alaska,07/28/2022,State Trooper Policies Public Access,Data and Transparency ,Requires the Department of Public Safety to publish certain policies and procedures on the departments Internet website.,AK SB 7,transparency,4,0,0,0,0,0,0,1,0,0,0,right,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S7&ciq=ncsl&client_md=2b931cdb8d03b839903a9272999f4576&mode=current_text
Alaska,06/29/2022,Village Public Safety Officers Background Investigation,Certification,"Requires background investigations of village public safety officer applicants by the Department of Public Safety, relates to the village public safety officer program.",AK SB 81,"transparency, oversight",5,0,0,0,0,0,0,1,1,0,0,left,Democrat,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S81&ciq=ncsl&client_md=23e723190d54034ee71cd35b2cc88594&mode=current_text
Arizona,04/14/2022,Disciplinary Appeals,"Employment and Labor, Investigations and Discipline","Relates to disciplinary appeals, relates to final disposition reporting, relates to law enforcement officers.",AZ H 2340,"transparency, oversight",6,0,0,0,0,0,0,1,1,0,0,left,Republican,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2340&ciq=ncsl&client_md=79f8194138b66e06d61ade56702b23cf&mode=current_text
Arizona,04/25/2022,Law Enforcement Officers,Investigations and Discipline,"Relates to law enforcement officers, relates to polygraph, relates to examinations.",AZ H 2159,"oversight, tactics, accountability",7,0,0,0,0,0,0,1,1,1,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2159&ciq=ncsl&client_md=94e2374c42c3d39e3c880b344070f8a3&mode=current_text
Arizona,03/30/2022,Officers Bill of Rights,"Employment and Labor, Investigations and Discipline","Relates to public safety officers, relates to preemption.",AZ H 2254,accountability ,8,0,0,0,0,0,0,0,0,1,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2254&ciq=ncsl&client_md=5ea7e39fa3cd35f9f7c514abffa8e617&mode=current_text
Arizona,07/06/2022,Law Enforcement Activity,Other Issues,"Provides that it is unlawful for a person to knowingly make a video recording of law enforcement activity if the person making the recording does not have the permission of a law enforcement officer and is within a specified number of feet of where the law enforcement activity is occurring, provides that if such activity is occurring in an enclose structure that is on private property, a person who is authorized to be on the property may make a video recording from an adjacent room or area as specified.",AZ H 2319,"transparency, oversight",9,0,0,0,0,0,0,1,1,0,0,right,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2319&ciq=ncsl&client_md=4f8d8af7b4f0bf836b9e42285a023c36&mode=current_text
Arizona,07/06/2022,Misconduct Investigations,Investigations and Discipline,"Relates to law enforcement, relates to misconduct investigations, relates to extension.",AZ H 2347,"transparency, oversight, accountability",10,0,0,0,0,0,0,1,1,1,0,left,Republican,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2347&ciq=ncsl&client_md=e0717074a4bbecdc126e9c114aea01ab&mode=current_text
