lender,total_undisbursed,total_amount,total_loans
"Capital Plus Financial, LLC",47154014,171070379,9992
"BSD Capital, LLC dba Lendistry",41101901,82722937,4370
"Prestamos CDFI, LLC",16819394,152506518,9515
"Leader Bank, National Association",9944269,12040978,730
CIBC Bank USA,2848200,49409550.39,61
Texas National Bank,2117006,2693393,136
Citizens State Bank of New Castle,2089970.2,82966148.4,1098
Teachers CU,1794447.6,39538358.34,910
"Newtek Small Business Finance, Inc.",1790700,12987600,206
Itria Ventures LLC,1533420.92,53508961.45,2492
