lender,total_undisbursed,total_amount,total_loans
"Capital Plus Financial, LLC",47154014,171070379,9992
"BSD Capital, LLC dba Lendistry",41101901,82722937,4370
"Prestamos CDFI, LLC",16819394,152506518,9515
"Leader Bank, National Association",9944269,12040978,730
CIBC Bank USA,2848200,49409550.39,61
Texas National Bank,2117006,2693393,136
Citizens State Bank of New Castle,2089970.2,82966148.4,1098
Teachers CU,1794447.6,39538358.34,910
"Newtek Small Business Finance, Inc.",1790700,12987600,206
Itria Ventures LLC,1533420.92,53508961.45,2492
Tri-County Bank & Trust Company,1466349.24,12579042.22,391
"Readycap Lending, LLC",1402952.58,33010063.43,1148
First Midwest Bank,1363439,63715722.09,660
The Enterprise Center Capital Corporation,1312299.65,4079589.56,208
Merchants Bank of Indiana,933300,84121100,469
Boonville Federal Savings Bank,701147.72,5868692.78,126
The National Bank of Indianapolis,693147,387334477,1561
KeyBank National Association,547498,308004109.4,2173
BBVA USA,472452,12485030.52,7
Partners 1st FCU,377681,2813881,105
Cross River Bank,368455,127101225.88,5523
"Grow America Fund, Incorporated",321722,342555,3
First Bank Richmond,306597.48,63571877.98,592
Regional FCU,295720,5123345,124
"Flagship Enterprise Center, Inc. (dba Bankable)",288952.94,16951710.94,691
"Amur Equipment Finance, Inc.",258908,8046164.59,363
Horizon Bank,257457.39,274147169.58,2786
The Huntington National Bank,256101.25,469875396.26,3551
MBE Capital Partners,190415,7530076.1,407
First Federal Savings Bank,185730.25,123336703.47,1529
Fountainhead SBF LLC,185028,51819181.57,3082
Lake City Bank,175167.5,709867191.77,3501
"Square Capital, LLC",154281.21,7042305.6,1003
City National Bank of Florida,146382,1246192.37,14
ProFed FCU,141308.2,6930860.23,275
Grant County State Bank,139544.77,8848579.7,297
"Waterford Bank, National Association",123852.51,6006011.78,14
First Internet Bank of Indiana,122607,35849702.45,150
1st Choice CU,106760.5,238432.57,7
Liberty SBF Holdings LLC,103874,4811170,207
WebBank,103612,22862619,1192
"JPMorgan Chase Bank, National Association",90780,865315604.54,7922
Purdue FCU,88467.16,23540259.23,441
First Farmers Bank & Trust Co.,83971.34,168102808.6,3174
PrimeTrust Financial FCU,82775,7917995.25,139
American Lending Center,74924.99,4555028.58,173
Florida A&M University FCU,65102.54,65102.54,7
Somerville Bank,62320.16,2007146.9,105
State Bank,58537.45,68116665.75,776
Heritage FCU,50700,5757400,268
"FC Marketplace, LLC (dba Funding Circle)",49803,4667253.6,182
Crossroads Bank,49638.9,25103047.4,604
Hoosier Heartland State Bank,41666,16356926.76,447
First State Bank of Middlebury,40592,77881951.1,553
Fifth Third Bank,39912,423461489.66,4282
Community First Bank of Indiana,37170.26,76244396.72,1097
First Financial Bank,36800,463496932.76,4681
"Kabbage, Inc.",36554,34286513.29,1992
